projectKey,status,name,location,state,ProjectCreateDate,deliveryDate,ProductName,collateralItemName,collateralQuantity,collateralUnitPrice,collateralTotalPrice,collateralGstRate,collateralSpecification,packingCharges,packingChargesGstRate,totalCost,grandTotal,instructions,pocId,clientId,branch,leadsConverted,leadsGenerated
,DELIVERED,Marketing Collateral - Sohna Road,Gurugram,Haryana,2026-01-12,2026-01-13,NA,One Pager A4,25.0,10.0,250.0,18.0,A4,1500.0,18.0,6060.0,7151,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Marketing Collateral - Sohna Road,Gurugram,Haryana,2026-01-12,2026-01-13,NA,One Pager A4,25.0,10.0,250.0,18.0,A4,1500.0,18.0,6060.0,7151,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
2280.0,DELIVERED,Agency Expansion Kit - Bangalore,Bangaluru,Karnataka,2026-01-21,2026-01-22,SWAG,Rollup Standee,1.0,1800.0,1800.0,18.0,3x6 ft Chrome Standee,1500.0,18.0,30500.0,35990,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Agency Expansion Kit - Bangalore,Bangaluru,Karnataka,2026-01-21,2026-01-22,STPP,Rollup Standee,1.0,1800.0,1800.0,18.0,3x6 ft Chrome Standee,1500.0,18.0,30500.0,35990,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Agency Expansion Kit - Bangalore,Bangaluru,Karnataka,2026-01-21,2026-01-22,IKBKN,Rollup Standee,1.0,1800.0,1800.0,18.0,3x6 ft Chrome Standee,1500.0,18.0,30500.0,35990,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Agency Expansion Kit - Bangalore,Bangaluru,Karnataka,2026-01-21,2026-01-22,Recruitment,Rollup Standee,1.0,1800.0,1800.0,18.0,3x6 ft Chrome Standee,1500.0,18.0,30500.0,35990,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Agency Expansion Kit - Bangalore,Bangaluru,Karnataka,2026-01-21,2026-01-22,Brand USP,Rollup Standee,1.0,1800.0,1800.0,18.0,3x6 ft Chrome Standee,1500.0,18.0,30500.0,35990,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Agency Expansion Kit - Bangalore,Bangaluru,Karnataka,2026-01-21,2026-01-22,SWAG Early Wealth Variant,One Pager A4,200.0,20.0,4000.0,18.0,A4,1500.0,18.0,30500.0,35990,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Agency Expansion Kit - Bangalore,Bangaluru,Karnataka,2026-01-21,2026-01-22,SWAG Par Insta Income,One Pager A4,200.0,20.0,4000.0,18.0,A4,1500.0,18.0,30500.0,35990,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Agency Expansion Kit - Bangalore,Bangaluru,Karnataka,2026-01-21,2026-01-22,STPP,One Pager A4,200.0,20.0,4000.0,18.0,A4,1500.0,18.0,30500.0,35990,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Agency Expansion Kit - Bangalore,Bangaluru,Karnataka,2026-01-21,2026-01-22,Smart Vibe,One Pager A4,200.0,20.0,4000.0,18.0,A4,1500.0,18.0,30500.0,35990,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Agency Expansion Kit - Bangalore,Bangaluru,Karnataka,2026-01-21,2026-01-22,Recruitment,One Pager A4,200.0,20.0,4000.0,18.0,A4,1500.0,18.0,30500.0,35990,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1299.0,DELIVERED,"Recruitment Activities Kit, Handouts, Flyers, Pamphlets",NA,NA,2026-01-29,2026-02-10,Recruitment,Rollup Standee,1.0,1250.0,1250.0,18.0,3x6 ft Chrome Standee,500.0,18.0,11750.0,13865,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,"Recruitment Activities Kit, Handouts, Flyers, Pamphlets",NA,NA,2026-01-29,2026-02-10,Recruitment,One Pager A4,500.0,10.0,5000.0,18.0,A4,500.0,18.0,11750.0,13865,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,"Recruitment Activities Kit, Handouts, Flyers, Pamphlets",NA,NA,2026-01-29,2026-02-10,NA,Drawing Sheet,500.0,10.0,5000.0,18.0,A4,500.0,18.0,11750.0,13865,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1305.0,DELIVERED,Recruitment Collaterals for Hyderabad Office (OYZ),Hyderabad,Telangana,2026-02-11,2026-02-18,Recruitment,One Pager A4,3000.0,6.0,18000.0,18.0,A4,500.0,18.0,36500.0,43070,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Recruitment Collaterals for Hyderabad Office (OYZ),Hyderabad,Telangana,2026-02-11,2026-02-18,Lifestyle Survey,One Pager A4,3000.0,6.0,18000.0,18.0,A4,500.0,18.0,36500.0,43070,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1308.0,DELIVERED,CEO visit in Bhubaneshwar office 24 Feb,Bhubaneswar,Odisha,2026-02-11,2026-02-19,Recruitment,Rollup Standee,2.0,1250.0,2500.0,18.0,3x6 ft Chrome Standee,500.0,18.0,4300.0,5074,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,CEO visit in Bhubaneshwar office 24 Feb,Bhubaneswar,Odisha,2026-02-11,2026-02-19,SWAG KV_V16,Poster A3,10.0,30.0,300.0,18.0,A3,500.0,18.0,4300.0,5074,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,CEO visit in Bhubaneshwar office 24 Feb,Bhubaneswar,Odisha,2026-02-11,2026-02-19,Smart Vibe One Pager Variant 1 Insta Wealth,One Pager A4,100.0,10.0,1000.0,18.0,A4,500.0,18.0,4300.0,5074,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1303.0,DELIVERED,Sujeet IMF Marketing Collaterals,New Delhi,Delhi,2026-02-09,2026-03-06,Smart Vibe,One Pager A4,500.0,10.0,5000.0,18.0,A4,500.0,18.0,15500.0,18290,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Sujeet IMF Marketing Collaterals,New Delhi,Delhi,2026-02-09,2026-03-06,STAR 3D Life Secure Solution,One Pager A4,500.0,10.0,5000.0,18.0,A4,500.0,18.0,15500.0,18290,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Sujeet IMF Marketing Collaterals,New Delhi,Delhi,2026-02-09,2026-03-06,SWAG Par Insta Boost,One Pager A4,500.0,10.0,5000.0,18.0,A4,500.0,18.0,15500.0,18290,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1304.0,DELIVERED,Nizamabad Collaterals (OYZ),Nizamabad,Telangana,2026-02-11,2026-02-13,Recruitment,Canopy,1.0,2200.0,2200.0,18.0,NA,2000.0,18.0,26450.0,30311,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Nizamabad Collaterals (OYZ),Nizamabad,Telangana,2026-02-11,2026-02-13,Recruitment,Rollup Standee,1.0,1250.0,1250.0,18.0,3x6 ft Chrome Standee,2000.0,18.0,26450.0,30311,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Nizamabad Collaterals (OYZ),Nizamabad,Telangana,2026-02-11,2026-02-13,Recruitment,One Pager A4,800.0,10.0,8000.0,18.0,A4,2000.0,18.0,26450.0,30311,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Nizamabad Collaterals (OYZ),Nizamabad,Telangana,2026-02-11,2026-02-13,Lifestyle Survey,One Pager A4,100.0,10.0,1000.0,18.0,A4,2000.0,18.0,26450.0,30311,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Nizamabad Collaterals (OYZ),Nizamabad,Telangana,2026-02-11,2026-02-13,SWAG Early,One Pager A4,100.0,10.0,1000.0,18.0,A4,2000.0,18.0,26450.0,30311,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Nizamabad Collaterals (OYZ),Nizamabad,Telangana,2026-02-11,2026-02-13,Smart Vibe,One Pager A4,100.0,10.0,1000.0,18.0,A4,2000.0,18.0,26450.0,30311,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Nizamabad Collaterals (OYZ),Nizamabad,Telangana,2026-02-11,2026-02-13,NA,Drawing Sheet,250.0,10.0,2500.0,18.0,A4,2000.0,18.0,26450.0,30311,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Nizamabad Collaterals (OYZ),Nizamabad,Telangana,2026-02-11,2026-02-13,NA,Certificate,250.0,10.0,2500.0,18.0,A4,2000.0,18.0,26450.0,30311,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Nizamabad Collaterals (OYZ),Nizamabad,Telangana,2026-02-11,2026-02-13,NA,Crayon,250.0,20.0,5000.0,18.0,Wax Crayon - 10 Shades,2000.0,18.0,26450.0,30311,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1311.0,DELIVERED,Research Partner Visit @Branches- March'26,NA,NA,2026-03-09,2026-03-10,Recruitment,Rollup Standee,10.0,2000.0,20000.0,18.0,3x6 ft Chrome Standee,5000.0,18.0,25600.0,30208,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Research Partner Visit @Branches- March'26,NA,NA,2026-03-09,2026-03-10,Smart Vibe,Poster A3,10.0,30.0,300.0,18.0,A3,5000.0,18.0,25600.0,30208,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Research Partner Visit @Branches- March'26,NA,NA,2026-03-09,2026-03-10,SWAG V16 KV,Poster A3,10.0,30.0,300.0,18.0,A3,5000.0,18.0,25600.0,30208,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
2244.0,DELIVERED,Product Single Pager And Leaflet POLICY RIDER IMF,Hathras,UP,2026-03-12,2026-03-18,STAR 3D Life Secure Solution,One Pager A4,25.0,10.0,250.0,18.0,A4,100.0,18.0,1100.0,1298,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Product Single Pager And Leaflet POLICY RIDER IMF,Hathras,UP,2026-03-12,2026-03-18,SWIP,One Pager A4,25.0,10.0,250.0,18.0,A4,100.0,18.0,1100.0,1298,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Product Single Pager And Leaflet POLICY RIDER IMF,Hathras,UP,2026-03-12,2026-03-18,SWAG PAR Insta Boost,One Pager A4,25.0,10.0,250.0,18.0,A4,100.0,18.0,1100.0,1298,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,DELIVERED,Product Single Pager And Leaflet POLICY RIDER IMF,Hathras,UP,2026-03-12,2026-03-18,SWAG NON ,One Pager A4,25.0,10.0,250.0,18.0,A4,100.0,18.0,1100.0,1298,NA,Pragyata Ranjan,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1312.0,DELIVERED,Marketing Collateral - 2 Canopy,Alwar,Rajasthan,2026-03-12,2026-04-29,Recruitment,Canopy,2.0,2200.0,4400.0,18.0,NA,600.0,18.0,5000.0,5900,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1313.0,Pending,Fraud Awareness Campaign,NA,NA,2026-03-17,NA,NA,Poster A3,940.0,30.0,28200.0,18.0,A3,4000.0,18.0,32200.0,37996,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1314.0,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,SWAG,Rollup Standee,1.0,1250.0,1250.0,18.0,3x6 ft Chrome Standee,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,Brand USP,Rollup Standee,1.0,1250.0,1250.0,18.0,3x6 ft Chrome Standee,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,IKBKN,Rollup Standee,1.0,1250.0,1250.0,18.0,3x6 ft Chrome Standee,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,STPP,Rollup Standee,1.0,1250.0,1250.0,18.0,3x6 ft Chrome Standee,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,Recruitment,Rollup Standee,1.0,1250.0,1250.0,18.0,3x6 ft Chrome Standee,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,Smart Vibe,Poster A3,1.0,30.0,30.0,18.0,A3,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,STPP,Poster A3,1.0,30.0,30.0,18.0,A3,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,SWAG PAR+ KV V03,Poster A3,1.0,30.0,30.0,18.0,A3,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,SWAG Pension,Poster A3,1.0,30.0,30.0,18.0,A3,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,SWAG V14,Poster A3,1.0,30.0,30.0,18.0,A3,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,IKBKN,Dangler,20.0,15.0,300.0,18.0,NA,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,Brand USP,Tent Card A5,10.0,20.0,200.0,18.0,A5,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,Recruitment,One Pager A4,200.0,10.0,2000.0,18.0,A4,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,Smart Vibe,One Pager A4,200.0,10.0,2000.0,18.0,A4,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,STPP,One Pager A4,200.0,10.0,2000.0,18.0,A4,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,SWAG PAR+ Insta Income,One Pager A4,200.0,10.0,2000.0,18.0,A4,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,SWAG V15 Early Wealth Variant,One Pager A4,200.0,10.0,2000.0,18.0,A4,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,DELIVERED,Expansion Kit Azamgarh,Azamgarh,UP,2026-03-20,2026-04-10,Recruitment,Canopy,1.0,2200.0,2200.0,18.0,NA,1500.0,18.0,20600.0,24308,NA,Harsh Gupta,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1648.0,DELIVERED,CABR Collaterals,NA,NA,2026-04-22,2026-04-29,SWAG one pager - Hindi,One Pager A4,2000.0,4.5,9000.0,18.0,A4,3000.0,18.0,98500.0,116230,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,CABR Collaterals,NA,NA,2026-04-22,2026-04-29,SWAG one pager - English,One Pager A4,2500.0,4.5,11250.0,18.0,A4,3000.0,18.0,98500.0,116230,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,CABR Collaterals,NA,NA,2026-04-22,2026-04-29,SWAG one pager - Marathi,One Pager A4,1250.0,8.0,10000.0,18.0,A4,3000.0,18.0,98500.0,116230,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,CABR Collaterals,NA,NA,2026-04-22,2026-04-29,SWAG one pager - Kannada,One Pager A4,500.0,10.0,5000.0,18.0,A4,3000.0,18.0,98500.0,116230,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,CABR Collaterals,NA,NA,2026-04-22,2026-04-29,SWAG one pager - Telugu,One Pager A4,500.0,10.0,5000.0,18.0,A4,3000.0,18.0,98500.0,116230,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,CABR Collaterals,NA,NA,2026-04-22,2026-04-29,SWAG one pager - Gujarati,One Pager A4,750.0,10.0,7500.0,18.0,A4,3000.0,18.0,98500.0,116230,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,CABR Collaterals,NA,NA,2026-04-22,2026-04-29,SWAG Par one pager - Hindi,One Pager A4,2000.0,4.5,9000.0,18.0,A4,3000.0,18.0,98500.0,116230,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,CABR Collaterals,NA,NA,2026-04-22,2026-04-29,SWAG Par one pager - English,One Pager A4,2500.0,4.5,11250.0,18.0,A4,3000.0,18.0,98500.0,116230,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,CABR Collaterals,NA,NA,2026-04-22,2026-04-29,SWAG Par one pager - Marathi,One Pager A4,1250.0,8.0,10000.0,18.0,A4,3000.0,18.0,98500.0,116230,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,CABR Collaterals,NA,NA,2026-04-22,2026-04-29,SWAG Par one pager - Kannada,One Pager A4,500.0,10.0,5000.0,18.0,A4,3000.0,18.0,98500.0,116230,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,CABR Collaterals,NA,NA,2026-04-22,2026-04-29,SWAG Par one pager - Telugu,One Pager A4,500.0,10.0,5000.0,18.0,A4,3000.0,18.0,98500.0,116230,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,CABR Collaterals,NA,NA,2026-04-22,2026-04-29,SWAG Par one pager - Gujarati,One Pager A4,750.0,10.0,7500.0,18.0,A4,3000.0,18.0,98500.0,116230,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1647.0,DELIVERED,CABR Collaterals,NA,NA,2026-04-06,2026-04-08,SWAG PAR+ Insta Income,One Pager A4,500.0,10.0,5000.0,18.0,A4,500.0,18.0,11350.0,13393,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,CABR Collaterals,NA,NA,2026-04-06,2026-04-08,IKBKN,Rollup Standee,4.0,1350.0,5400.0,18.0,3x6 ft Chrome Standee,500.0,18.0,11350.0,13393,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,CABR Collaterals,NA,NA,2026-04-06,2026-04-08,SWAG PAR+ KV V03,Poster A3,15.0,30.0,450.0,18.0,A3,500.0,18.0,11350.0,13393,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1646.0,DELIVERED,Marketing Material,Mumbai,Maharashtra,2026-03-06,2026-03-10,SWAG PAR,Poster A3,100.0,30.0,3000.0,18.0,A3,100.0,18.0,6100.0,7198,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,Marketing Material,Mumbai,Maharashtra,2026-03-06,2026-03-10,SWAG Pension,Poster A3,100.0,30.0,3000.0,18.0,A3,100.0,18.0,6100.0,7198,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1645.0,DELIVERED,Lifestyle survey one pager,Gurugram,Haryana,2026-02-13,2026-02-18,Lifestyle Survey,One Pager A4,1000.0,6.0,6000.0,18.0,A4,200.0,18.0,6200.0,7316,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1644.0,DELIVERED,One pagers and posters,Secunderabad,Telangana,2026-01-13,2026-01-18,Smart Vibe,One Pager A4,1000.0,10.0,10000.0,18.0,A4,2000.0,18.0,50400.0,59427,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,One pagers and posters,Secunderabad,Telangana,2026-01-13,2026-01-18,SWAG PAR,One Pager A4,1500.0,10.0,15000.0,18.0,A4,2000.0,18.0,50400.0,59427,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,One pagers and posters,Secunderabad,Telangana,2026-01-13,2026-01-18,SWIP,One Pager A4,500.0,10.0,5000.0,18.0,A4,2000.0,18.0,50400.0,59427,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,One pagers and posters,Secunderabad,Telangana,2026-01-13,2026-01-18,SWAG,One Pager A4,500.0,10.0,5000.0,18.0,A4,2000.0,18.0,50400.0,59427,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,One pagers and posters,Secunderabad,Telangana,2026-01-13,2026-01-18,SAP 4 page,Brochure,500.0,25.0,12500.0,18.0,A4,2000.0,18.0,50400.0,59427,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,One pagers and posters,Secunderabad,Telangana,2026-01-13,2026-01-18,Smart Vibe,Poster A3,10.0,30.0,300.0,18.0,A3,2000.0,18.0,50400.0,59427,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,One pagers and posters,Secunderabad,Telangana,2026-01-13,2026-01-18,SWAG PAR,Poster A3,10.0,30.0,300.0,18.0,A3,2000.0,18.0,50400.0,59427,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,DELIVERED,One pagers and posters,Secunderabad,Telangana,2026-01-13,2026-01-18,SAP,Poster A3,10.0,30.0,300.0,18.0,A3,2000.0,18.0,50400.0,59427,NA,Lokranjan Mahtab,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
